"filename", "language", "YAML", "Dart", "Markdown", "JSON", "HTML", "Swift", "C++", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\heart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\help-circle-big.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\help-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\home-black.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\home.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\instagram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\like.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\maestro-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\mail (1).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\mail.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\map-pin (1).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\map-pin-small.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\map-pin.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\mastercard-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\menu-chart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\menu-vertical.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\menu.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\paypal-light-large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\phone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\play.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\plus-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\plus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\send.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\settings.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\share-2 (1).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\share-2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
