"filename", "language", "YAML", "Dart", "XML", "comment", "blank", "total"
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\close.svg", "XML", 0, 0, -5, 0, -1, -6
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\like.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\plus-circle.svg", "XML", 0, 0, 7, 0, 1, 8
"d:\flutter_projects\main\youtube-flutter-clone\assets\icons\search.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\core\functions\reformat\views_reformat.dart", "Dart", 0, 2, 0, 0, 1, 3
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\data_sources\remote\api\videos\videos_apis.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\channel_details.dart", "Dart", 0, 12, 0, 0, 1, 13
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\channel_details.g.dart", "Dart", 0, 3, 0, 0, 0, 3
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\channel_details\channel_sub_details\channel_sub_details_extension.dart", "Dart", 0, 2, 0, 0, 1, 3
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\models\videos_details\video_details_extension.dart", "Dart", 0, 9, 0, 0, -1, 8
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\repositories_impl\channel\channel_details_repo_impl.dart", "Dart", 0, -3, 0, 0, 0, -3
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\repositories_impl\search_details_repo_impl.dart", "Dart", 0, -46, 0, -1, 0, -47
"d:\flutter_projects\main\youtube-flutter-clone\lib\data\repositories_impl\videos_details_repo_impl.dart", "Dart", 0, -3, 0, 0, 0, -3
"d:\flutter_projects\main\youtube-flutter-clone\lib\main.dart", "Dart", 0, -6, 0, 8, -2, 0
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\circular_profile_image.dart", "Dart", 0, 17, 0, 0, 3, 20
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\custom_network_display.dart", "Dart", 0, 40, 0, 0, 6, 46
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\mini_player_video.dart", "Dart", 0, 17, 0, 5, -1, 21
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\common_widgets\thumbnail_image.dart", "Dart", 0, 7, 0, 0, 2, 9
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\custom_mini_player\custom_mini_player.dart", "Dart", 0, 319, 0, 36, 79, 434
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\custom_mini_player\mini_player_will_pop_scope.dart", "Dart", 0, 54, 0, 0, 13, 67
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\custom_mini_player\utils.dart", "Dart", 0, 27, 0, 1, 5, 33
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\pod_player.dart", "Dart", 0, 12, 0, 0, 3, 15
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\controllers\pod_base_controller.dart", "Dart", 0, 86, 0, 8, 22, 116
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\controllers\pod_gestures_controller.dart", "Dart", 0, 69, 0, 3, 12, 84
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\controllers\pod_getx_video_controller.dart", "Dart", 0, 253, 0, 17, 34, 304
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\controllers\pod_player_controller.dart", "Dart", 0, 171, 0, 46, 52, 269
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\controllers\pod_ui_controller.dart", "Dart", 0, 11, 0, 3, 5, 19
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\controllers\pod_video_controller.dart", "Dart", 0, 214, 0, 16, 28, 258
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\controllers\pod_video_quality_controller.dart", "Dart", 0, 102, 0, 13, 20, 135
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\models\overlay_options.dart", "Dart", 0, 29, 0, 0, 2, 31
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\models\play_video_from.dart", "Dart", 0, 133, 0, 2, 8, 143
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\models\pod_player_config.dart", "Dart", 0, 29, 0, 5, 4, 38
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\models\pod_player_labels.dart", "Dart", 0, 30, 0, 1, 2, 33
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\models\pod_progress_bar_config.dart", "Dart", 0, 89, 0, 15, 20, 124
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\models\vimeo_models.dart", "Dart", 0, 10, 0, 0, 2, 12
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\pod_player.dart", "Dart", 0, 218, 0, 15, 23, 256
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\utils\enums.dart", "Dart", 0, 15, 0, 0, 2, 17
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\utils\logger.dart", "Dart", 0, 4, 0, 0, 3, 7
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\utils\video_apis.dart", "Dart", 0, 116, 0, 1, 7, 124
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\widgets\animated_play_pause_icon.dart", "Dart", 0, 89, 0, 1, 10, 100
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\widgets\core\overlays\mobile_bottomsheet.dart", "Dart", 0, 275, 0, 0, 17, 292
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\custom_packages\pod_player\src\widgets\core\overlays\mobile_overlay.dart", "Dart", 0, 178, 0, 0, 9, 187
