"filename", "language", "YAML", "Dart", "XML", "comment", "blank", "total"
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\layouts\base_layout.dart", "Dart", 0, 25, 0, 0, 2, 27
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\layouts\base_layout_logic.dart", "Dart", 0, 31, 0, 0, 6, 37
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\main.dart", "Dart", 0, 18, 0, 0, 8, 26
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\my_app.dart", "Dart", 0, 76, 0, 0, 8, 84
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\pages\shorts\logic\shorts_page_logic.dart", "Dart", 0, 25, 0, 0, 6, 31
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\pages\shorts\shorts_page.dart", "Dart", 0, 151, 0, 0, 14, 165
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\pages\shorts\widgets\horizontal_short_widgets.dart", "Dart", 0, 202, 0, 1, 29, 232
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\pages\shorts\widgets\short_player.dart", "Dart", 0, 115, 0, 0, 17, 132
"d:\flutter_projects\main\youtube-flutter-clone\lib\presentation\pages\shorts\widgets\vertical_short_widgets.dart", "Dart", 0, 86, 0, 0, 5, 91
"d:\flutter_projects\main\youtube-flutter-clone\pubspec.yaml", "YAML", 1, 0, 0, 0, 0, 1
"Total", "-", 1, 1171, 215, -41, 154, 1500
